Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","3015 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016paca_f1m1,136,91,1,1,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,71,40,16,15,0,8,0,5,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,20,25,0,blue
2016paca_f1m2,91,71,1,,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,51,35,6,10,0,3,0,-2,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,1,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,None,Challenged,20,0,0,blue
2016paca_f1m3,84,64,1,,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,44,30,4,10,0,2,0,-1,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,20,0,0,blue
2016paca_qf4m1,147,102,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,72,35,22,15,0,11,0,0,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,20,25,0,red
2016paca_qf4m2,140,95,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,65,30,20,15,0,10,0,1,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,1,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,20,25,0,red
2016paca_qm17,96,96,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,66,25,16,10,15,8,0,8,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,Scaled,Challenged,Challenged,0,0,0,blue
2016paca_qm23,57,57,1,,10,10,0,0,0,0,Crossed,None,None,Crossed,47,35,2,10,0,1,0,7,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,Challenged,None,Challenged,0,0,0,blue
2016paca_qm27,76,76,1,,15,10,0,5,0,1,None,None,Crossed,None,56,35,6,15,0,3,0,8,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,1,0,Challenged,Challenged,Challenged,0,0,0,red
2016paca_qm40,85,85,1,,14,10,4,0,0,0,Crossed,Reached,Crossed,Reached,61,35,16,10,0,3,2,6,A_Portcullis,0,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,10,0,0,Challenged,Challenged,None,0,0,0,blue
2016paca_qm51,97,97,1,,22,20,2,0,0,0,Crossed,Crossed,Reached,Crossed,70,30,15,10,15,5,1,8,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,5,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016paca_qm60,97,97,1,,14,10,4,0,0,0,Crossed,Reached,Reached,Crossed,78,35,13,0,30,4,1,4,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,5,1,0,None,Scaled,Scaled,0,0,0,red
2016paca_qm68,97,97,1,,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,75,40,15,5,15,5,1,2,A_Portcullis,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Unknown,0,0,0,red
2016paca_qm7,60,60,1,,10,10,0,0,0,0,Crossed,None,Crossed,None,50,35,10,5,0,0,2,6,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,None,Challenged,None,0,0,0,red
2016paca_qm73,65,65,1,,10,10,0,0,0,0,Crossed,Crossed,None,None,55,35,10,10,0,5,0,6,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,0,0,0,blue
2016paca_qm84,99,99,1,1,22,20,2,0,0,0,Crossed,Crossed,Reached,Crossed,72,30,27,15,0,6,3,8,A_Portcullis,0,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016paca_sf2m1,134,114,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,69,35,14,5,15,7,0,2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,15,0,0,None,Scaled,Challenged,20,0,0,blue
2016paca_sf2m2,160,115,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,70,35,20,15,0,10,0,0,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,15,0,0,Challenged,Challenged,Challenged,20,25,0,blue
2016nyro_qf3m1,146,101,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,71,25,21,10,15,8,1,-1,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Scaled,Challenged,20,25,0,red
2016nyro_qf3m2,0,-20,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,48,25,13,10,0,4,1,2,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,3,0,Challenged,None,Challenged,20,0,-98,red
2016nyro_qf3m3,99,79,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,44,25,14,5,0,7,0,3,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,None,None,20,0,0,red
2016nyro_qm1,87,87,1,,10,10,0,0,0,0,None,None,None,Crossed,72,45,17,10,0,1,3,8,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,None,0,0,0,red
2016nyro_qm12,85,85,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,55,35,15,5,0,5,1,1,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,None,Unknown,Challenged,0,0,0,red
2016nyro_qm18,100,100,1,1,20,20,0,0,0,0,Crossed,None,Crossed,Crossed,80,40,25,15,0,5,3,0,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,0,0,0,blue
2016nyro_qm31,97,97,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,67,25,32,10,0,6,4,-1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,1,Challenged,Unknown,Challenged,0,0,0,blue
2016nyro_qm38,118,118,1,1,32,20,2,10,1,0,Crossed,Crossed,Crossed,Reached,86,40,31,15,0,3,5,-1,A_Portcullis,2,B_Ramparts,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016nyro_qm44,84,84,1,1,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,64,30,19,15,0,7,1,7,A_Portcullis,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,0,0,0,blue
2016nyro_qm57,105,105,1,1,30,20,0,10,1,0,None,Crossed,Crossed,None,75,40,20,15,0,5,2,-1,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016nyro_qm63,74,74,1,,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,54,30,14,10,0,7,0,3,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,0,0,0,red
